,Sentence,Eval 1,Eval 2,Eval 3
0,Ton chat s'étonne du mistral.,0,0,0
1,Les scribes arrogants crieront.,0,0,0
2,Une interlocutrice nage.,0,0,0
3,Nous nous lasserons de donneuses d'organes.,0,0,0
4,Vous assommez un caleçon rouillé !,0,0,0
5,Des résistants hélitreuillés traînent.,0,0,0
6,Vous tapez sur peu de gonfalons !,0,0,0
7,Certains agents doubles liment quatre fautes.,0,0,0
8,Assez de chasseurs se plaignent de tendons.,0,0,0
9,Je ferai attention à des orphelines.,0,0,0
10,Buster Keaton s'appuiera aux jardins...,0,0,0
11,Les héritiers détendus prient.,0,0,0
12,Lou Ferrigno attend treize rôles.,0,0,0
13,Des cinéphiles apparaissent au Chili.,0,0,0
14,Les créatures avaient faim.,0,0,0
15,Douteras-tu de la banlieue de Pont-à-Mousson ?,0,0,0
16,Un plaignant s'attaque au chat de Claire Chazal.,0,0,0
17,Le chat de Staline préconise les gemmes.,0,0,0
18,Je humais les côtés.,0,0,0
19,Le chat de Satan se lamente sur un organigramme.,0,0,0
20,Les autorités gloussent n'importe comment.,0,0,0
21,Les inconnues entraient chez nous avant mai 68.,0,0,0
22,Pythagore revient sans écrire.,0,0,0
23,Quelqu'un qui ressemble à Eva Longoria mue.,0,0,0
24,Elle se fait catapulter en ville.,0,0,0
25,Nous nous passons de la barre.,0,0,0
26,François Baroin se défoule sur quelques princes...,0,0,0
27,Popeye le marin part agir sur la maquette !,0,0,0
28,Une âme en peine a besoin de maladies...,0,0,0
29,Tu feras la cour à Pino D'Angio.,0,0,0
30,Ils font tache sur Internet jusqu'au bout...,0,0,0
31,J'ai raison de trimer.,0,0,0
32,Le gendarme rêvera.,0,0,0
33,Un tiers des sultans n'évitent pas l'opératrice.,0,0,0
34,Où congelez-vous les rampes ?,0,0,0
35,Eric Cantona appelle votre vestibule.,0,0,0
36,Je prédis l'avenir à Madame Olson...,0,0,0
37,Je cire les barres de fer.,0,0,0
38,Plusieurs jurés se mesurent à moins de souvenirs.,0,0,0
39,Est-ce que l'âme pratique le souvenir ?,0,0,0
40,Les ordures font fausse route ici.,0,0,0
41,Les gens retrouvent le dilettante !,0,0,0
42,Ils se trimbalent à environ dix kilomètres.,0,0,0
43,Les postulantes baptisent faussement un gouffre.,0,0,0
44,Un homme comptait dériver.,0,0,0
45,Trois opératrices régressent.,0,0,0
46,Tu défilais dans l'édifice en l'an 631 avant J.C..,0,0,0
47,Où amorçons-nous cinq ordres ?,0,0,0
48,Pascal Sevran fiche le camp chez vous.,0,0,0
49,Moins d'idoles se taillent au Japon.,0,0,0
50,Je prends exemple sur un germe.,0,0,0
51,Rita Hayworth relaie des trous et les outils.,0,0,0
52,La famille de Zorro prend racine.,0,0,0
53,Le bouc émissaire avoue avoir faim...,0,0,0
54,Est-ce qu'un sportif ne remue pas vraiment ?,0,0,0
55,Ursula Andress délire.,0,0,0
56,Les assassins se passent de Jean de la Fontaine.,0,0,0
57,Le prix Nobel de chimie nuit à des chiffres.,0,0,0
58,Des califes tablent sur un meurtrier psychopathe.,0,0,0
59,Onze ergonomes affamées fulminent !,0,0,0
60,Les interlocuteurs barboteront.,0,0,0
61,Je renâcle à m'appuyer sur ces linceuls.,0,0,0
62,Est-ce qu'une fillette disait mugir ?,0,0,0
63,Peu de polytechniciens avouent blémir.,0,0,0
64,Cette altermondialiste compte arriver...,0,0,0
65,Quatre collègues intérimaires financent une joue.,0,0,0
66,Ces chinois digéreront totalement.,0,0,0
67,Elle se souviendra du cargo.,0,0,0
68,Walt Disney poireaute au sud de Fort Alamo.,0,0,0
69,La punk clignote.,0,0,0
70,Vingt-quatre manipulateurs font grève.,0,0,0
71,Le botaniste campera dans la gueule du loup.,0,0,0
72,Tu diras relayer le noyau d'olive.,0,0,0
73,Un terroriste met un terme aux duchesses.,0,0,0
74,Des anthropopithèques cuisaient la forme.,0,0,0
75,Une éminence affirme grelotter.,0,0,0
76,Une série de sculpteurs s'accroche-t-il ?,0,0,0
77,"À l'arrêt du tram, nous nous vantons de geindre.",0,0,0
78,Nous sélectionnons nos frissons.,0,0,0
79,Une martyre ridée mange beaucoup de serbes...,0,0,0
80,Christophe Colomb s'enorgueillit du flamand.,0,0,0
81,Vous souvenez-vous de notre mollusque ?,0,0,0
82,Le non-fumeur médit des requins.,0,0,0
83,Le biographe attitré de David Bowie se baigne.,0,0,0
84,Le maître met le paquet sur le saut en longueur.,0,0,0
85,Pourquoi pose-t-elle problème aux occasions ?,0,0,0
86,Ce filou galope à l'ombre d'un peuplier.,0,0,0
87,L'agriculteur laconique se servait de mentalistes.,0,0,0
88,Tu reviens relayer des organigrammes.,0,0,0
89,Vos parents daignent beugler n'importe comment.,0,0,0
90,Elvis Presley affirmait ne pas vociférer...,0,0,0
91,Est-ce que je double-cliquerai ?,0,0,0
92,Des salariés se dégonflent !,0,0,0
93,Dick Rivers trépigne-t-il ?,0,0,0
94,Un séducteur mimera des compléments...,0,0,0
95,Elle évite la forêt.,0,0,0
96,Une cantatrice demande directement ton chat.,0,0,0
97,Est-ce que je me relève ?,0,0,0
98,Les pires escrocs cherchent refuge à Dubai.,0,0,0
99,Les copains seront en avance sur quarante vérités.,0,0,0
100,Pourquoi beaucoup de sculpteurs s'inquiètent-ils ?,0,0,0
101,Le futur prête l'oreille à un bras.,0,0,0
102,La parodie gothique de Pythagore perd la face.,0,0,0
103,Le champion de tir frissonne.,0,0,0
104,Dan Simmons imagine de ressusciter.,0,0,0
105,Treize hiérarques vérifient tes impulsions.,0,0,0
106,Le cycliste dérogeait à la blessure.,0,0,0
107,Un tatoueur pavoise en rougissant.,0,0,0
108,Cette doxographe arrogante casse la croûte !,0,0,0
109,Une compagne choie les casquettes en accélérant.,0,0,0
110,Est-ce qu'il téléphonait à des téléphones ?,0,0,0
111,Je visais à parler d'un birman aphone.,0,0,0
112,Des golfeurs perdaient la face.,0,0,0
113,Des maraudeurs s'appuieront aux élucubrations.,0,0,0
114,Les séducteurs mènent en se nourrissant.,0,0,0
115,La fée Clochette se venge sur l'outil.,0,0,0
116,Un compère de gauche chuinte !,0,0,0
117,Antoine de Caunes se détend...,0,0,0
118,Est-ce que la psychanaliste déroge aux achats ?,0,0,0
119,Est-ce qu'un ivrogne hait le rhinocéros ?,0,0,0
120,Mimie Mathy recommencera en rétrécissant !,0,0,0
121,Un funambule cuira-t-il l'usagère ?,0,0,0
122,Naomi Campbell repoussait un substrat.,0,0,0
123,Philippe Risoli nie attaquer des catastrophes.,0,0,0
124,Les enfants sans défense délibéraient-ils ?,0,0,0
125,Zabou Breitman déteste s'exiler en Russie !,0,0,0
126,L'abbé Pierre batifolera !,0,0,0
127,Préférerons-nous pourchasser un diaphragme ?,0,0,0
128,Est-ce que les habitantes toussaient ?,0,0,0
129,Vous achevez d'effrayer les additions génériques !,0,0,0
130,Les illuminées aux yeux cernés frémissent-elles ?,0,0,0
131,Nous mettons les bouts chez nous...,0,0,0
132,Trois bourgeois appuyent sur un fossile.,0,0,0
133,Des salariés saliveront.,0,0,0
134,Ils masquent une coloquinte avec nos propriétés.,0,0,0
135,Je me méfie à la bibliothèque...,0,0,0
136,Comment des coiffeurs craignent-ils ta secousse ?,0,0,0
137,Microsoft militera dorénavant.,0,0,0
138,Est-ce que je me rapprochais d'un tordu ?,0,0,0
139,Supportions-nous d'être en avance sur le crampon ?,0,0,0
140,Des thérapeutes s'empiffrent.,0,0,0
141,Est-ce que vous casserez les couteaux de cuisine ?,0,0,0
142,J'assure me tenir sur l'orgasme.,0,0,0
143,Des sportifs mourront...,0,0,0
144,Marcel Gotilb dispose d'un pneu hypothéqué.,0,0,0
145,Mon client arrive à jongler.,0,0,0
146,Le procureur s'étend.,0,0,0
147,Plus de faussaires se souviennent des ricochets.,0,0,0
148,Ces maraudeurs se montrent.,0,0,0
149,Le politicien veut pouvoir briser deux achats.,0,0,0
150,J'interdis la fronde à Jean-Pierre Foucault.,0,0,0
151,Il aime chanter.,0,0,0
152,Un vigneron encadre des brigands.,0,0,0
153,Bruce Willis préfère-t-il les véritables tables ?,0,0,0
154,Ces gens-là sentent la fosse à répétition.,0,0,0
155,Boris Eltsine ne dérapera plus jamais.,0,0,0
156,Kellyanne Conway accède à plusieurs véhicules.,0,0,0
157,Je pesais quelque chose.,0,0,0
158,Vous annoncerez le vilain tourbillon.,0,0,0
159,Des entrepreneurs n'attendent pas de spéculer.,0,0,0
160,Un groupe d'amants réveille une armée de visions.,0,0,0
161,La plus belle ouvrait l'œil pour chômer.,0,0,0
162,Le capitaine Némo se gare sous les projecteurs.,0,0,0
163,Des taulardes désignent l'arabesque !,0,0,0
164,La Panthère Rose profite du filou...,0,0,0
165,Un invité mettait-il le paquet sur les effets ?,0,0,0
166,Une brute empiète sur la loi.,0,0,0
167,Nous coopérons...,0,0,0
168,Les gourous prognathes font grève.,0,0,0
169,Un aristocrate hypermétrope succède à une caméra.,0,0,0
170,Rachida Dati butait sur l'architecte.,0,0,0
171,Des charcutiers double-cliqueront !,0,0,0
172,Le nourrisson désire parler.,0,0,0
173,Des infirmiers appellent au secours.,0,0,0
174,Un tiers des patrons s'opposent à des compteurs.,0,0,0
175,Des gouverneurs couraient.,0,0,0
176,Les enfants nés de père inconnu démissionnaient.,0,0,0
177,Est-ce que tu te baignes ?,0,0,0
178,Une milliardaire accouche d'un piège à cons !,0,0,0
179,Où les esthètes tricotent-ils ?,0,0,0
180,Deux grévistes n'encerclent pas l'échiquier.,0,0,0
181,Eric Cantona porte atteinte à des accidents.,0,0,0
182,L'instructrice préconisera vingt-cinq styles.,0,0,0
183,Vous vous piquiez d'attirer des cachalots animés.,0,0,0
184,Un acteur se servira de ces élucubrations.,0,0,0
185,Cette nymphe s'empressait de s'approcher des bals.,0,0,0
186,Un pollueur suffoque.,0,0,0
187,Quelques personnes s'étendent.,0,0,0
188,Est-ce que le Mozambique parlait de bidets ?,0,0,0
189,Un percussionniste a soif !,0,0,0
190,"En Europe, les voleurs de poules mincissent-ils ?",0,0,0
191,Chantal Goya fuit.,0,0,0
192,Un vandale à trois sous intervient à Gotham City !,0,0,0
193,Belzébuth retrouve les chateaux.,0,0,0
194,Ce groupe maugréait...,0,0,0
195,Le fils caché de François Hadji-Lazaro accouchait.,0,0,0
196,Ils tiennent le coup...,0,0,0
197,"Tous les matins, elles partent à la bibliothèque.",0,0,0
198,Le serf arrive à lier en douce tes paupières.,0,0,0
199,Amazon se montre.,0,0,0
200,Des philologues ne déploient pas un continent...,0,0,0
201,Les jurées rougissaient.,0,0,0
202,La Tunisie s'appuye sur ses farces.,0,0,0
203,Un prélat influe sur le Mozambique.,0,0,0
204,Est-ce que la France modifiera les grimaces ?,0,0,0
205,Des assassins patinent.,0,0,0
206,Le prince charmant brode la mélodie.,0,0,0
207,Jack Lang ne jette pas les sujets...,0,0,0
208,T'acharnes-tu sur les globules accessoires ?,0,0,0
209,Tu t'étonnes du prix Nobel de chimie.,0,0,0
210,Des prédateurs remuent.,0,0,0
211,Blanche-Neige en petite tenue cesse de vivre.,0,0,0
212,Un résistant abruti ricane.,0,0,0
213,Tu te lasses de l'internaute.,0,0,0
214,Les sculpteurs enraient-ils ces funiculaires ?,0,0,0
215,L'individu armé s'essouffle-t-il ?,0,0,0
216,"Le 11 septembre 1825, tu avais peine à régresser !",0,0,0
217,L'histrion fait coucou à mes murs.,0,0,0
218,Un esthète avouait dire non à mon péché.,0,0,0
219,Tu contournes les poupées...,0,0,0
220,Vous tablez complètement sur des compositeurs.,0,0,0
221,Des goinfres un peu coincés sifflotaient !,0,0,0
222,Les cinéphiles mercenaires jauniront.,0,0,0
223,Le vainqueur de la course moisit.,0,0,0
224,Des académiciennes se désaltèrent !,0,0,0
225,Vous faites honneur à ces portes de hangar.,0,0,0
226,Est-ce qu'il ne se fait plus conduire à Mexico ?,0,0,0
227,Des ancêtres postillonnent.,0,0,0
228,Osent-elles jeûner ?,0,0,0
229,Des sénégalaises s'amusent à rêver d'un cloporte.,0,0,0
230,Ces facteurs retournent soupeser des tubas...,0,0,0
231,Ton chat aplatit les folles disponibles.,0,0,0
232,Ségolène Royal rêve de recommencer.,0,0,0
233,Des députées s'attacheront à un paquet de maçons.,0,0,0
234,Les vandales ont le courage de progresser.,0,0,0
235,Vous annoncez des linceuls aux charpentiers.,0,0,0
236,Les croque-morts s'équipaient de l'enfant.,0,0,0
237,J'approche de cent grammes de foie de volaille.,0,0,0
238,Un stagiaire apparaît au Guatemala.,0,0,0
239,"Loin de tout hiérarque, elles skient.",0,0,0
240,Des manifestantes pratiquent ces esprits !,0,0,0
241,David Lynch rendra hommage au mot de la fin.,0,0,0
242,Des cyclistes nieront passer au Népal à l'infini.,0,0,0
243,Je me méfie d'étapes sonores.,0,0,0
244,Julien Courbet dérive.,0,0,0
245,Est-ce qu'un australopithèque débraiera ?,0,0,0
246,J'effilais dix-huit galopins.,0,0,0
247,Un rat d'égout pagaie.,0,0,0
248,Michael Keaton réveillera les anges.,0,0,0
249,Je souhaiterai faire tache au Québec...,0,0,0
250,Presque toutes les filles gigotent-elles ?,0,0,0
251,Peu de ministres haïssent la rumeur.,0,0,0
252,Je n'ai pas besoin de cultes.,0,0,0
253,Des fakirs explosent.,0,0,0
254,Cinq informaticiens déchantent.,0,0,0
255,Des flibustiers bouquinent !,0,0,0
256,Elle emballait ce kiwi.,0,0,0
257,Où celle-là songe-t-elle à patiner ?,0,0,0
258,Est-ce que la clocharde se réfugie en Slovaquie ?,0,0,0
259,Les contribuables assurent approcher des artistes.,0,0,0
260,Nous lavons un scaphandre de plongée complexe...,0,0,0
261,Des inspecteurs accostent des fronts vivants.,0,0,0
262,Une fraudeuse s'associera aux utopies poilues.,0,0,0
263,Des clarinettistes opiniâtres se marrent.,0,0,0
264,L'handicapé fait confiance aux vacances.,0,0,0
265,Ces apôtres déchantent.,0,0,0
266,"Steve Austin demande conseil au verbe ""aimer""...",0,0,0
267,Des portugais souffleront.,0,0,0
268,Des pleurnichards profitent-ils d'étudiants ?,0,0,0
269,Trois portugaises ont le parachutiste.,0,0,0
270,La sœur d'Euclide tarde à voir le kamikaze.,0,0,0
271,Michael Schumacher était cette armée.,0,0,0
272,L'élu se sert de ces scalpels.,0,0,0
273,Ce vieil aveugle renâcle-t-il à discuter ?,0,0,0
274,Comment skies-tu ?,0,0,0
275,Un gladiateur médit du fiscaliste.,0,0,0
276,Apercevras-tu la dette extérieure grecque ?,0,0,0
277,Nous tournoyons.,0,0,0
278,La française se plaint de nos gouffres absolus.,0,0,0
279,Une agricultrice balance ces médicaments.,0,0,0
280,Ils se rattrapent à contre jour.,0,0,0
281,Un académicien bantou mugissait en gonflant.,0,0,0
282,Naomi Campbell voulait entendre parler des thons.,0,0,0
283,Ces survivants posaient un prédateur.,0,0,0
284,De quelle manière apparaissons-nous en coulisses ?,0,0,0
285,Ces gens-là se reposent sur les gîtes...,0,0,0
286,Tu prenais le large.,0,0,0
287,Quand contribué-je carrément à un légume ?,0,0,0
288,Une cliente sale des odes.,0,0,0
289,Des garagistes veillent à se réveiller.,0,0,0
290,La joueuse d'accordéon en robe de soirée respire.,0,0,0
291,Une tzigane dit osciller à peu près...,0,0,0
292,Nous distinguions les manifestants et le gant.,0,0,0
293,Des francs-maçons séduisent le poulet rôti.,0,0,0
294,Les palefreniers titubent.,0,0,0
295,Des membres du parti passeront le bac...,0,0,0
296,Thierry la Fronde chopait des feux.,0,0,0
297,Des connasses prenaient exemple sur Walt Disney.,0,0,0
298,Le singe boiteux déconne-t-il ?,0,0,0
299,Un chômeur s'alimente.,0,0,0
300,Une tordue nie postillonner !,0,0,0
301,Céline Dion hérite d'une impératrice...,0,0,0
302,Richard Gere chômait.,0,0,0
303,Les andouilles abandonnent.,0,0,0
304,Le spécialiste prend soin du roman.,0,0,0
305,Des tueuses à gages volaient une épice en vibrant.,0,0,0
306,Les jurés nuisent à un défi.,0,0,0
307,Nous nous inscrivons.,0,0,0
308,Est-ce qu'un arabe tabasse cette mouche ?,0,0,0
309,Les personnes agées correspondent aux hippocampes.,0,0,0
310,Vous dérogez à Jean-Paul Belmondo.,0,0,0
311,Un cocher se servira de tes étiquettes.,0,0,0
312,"Sur le lieu de travail d'un charcutier, tu les !",0,0,0
313,Ces stoïciennes tournent le dos aux astérisques.,0,0,0
314,Des ordures vérifient-elles la structure ?,0,0,0
315,Des naines permettront d'échapper à l'arête.,0,0,0
316,Comment la Lorelei se garait-elle tout là-haut ?,0,0,0
317,Nous nous associons à l'amatrice.,0,0,0
318,Un rapace risquait de rôder.,0,0,0
319,L'illusionniste perd la face...,0,0,0
320,Elle s'étendait sur un capuchon sans diminuer.,0,0,0
321,Vous ne confisquez guère ces additions aux reines.,0,0,0
322,Les joueurs de poker désiraient soupirer.,0,0,0
323,Je ne roupille pas.,0,0,0
324,Des troubadours se souviennent de trois clowns.,0,0,0
325,Le stoïcien versatile s'arrête-t-il d'hésiter ?,0,0,0
326,Dan Simmons fait un clin d'œil à trois planètes...,0,0,0
327,L'inspecteur débattra d'une merde...,0,0,0
328,Un psychanaliste se souvient de l'aversion.,0,0,0
329,Des sultans résistent-ils à la pelle à tarte ?,0,0,0
330,L'iconoclaste vitrifie-t-il une duchesse ?,0,0,0
331,Des trolls persévéreront.,0,0,0
332,Vous vous débarrassez de capitaux au Qatar !,0,0,0
333,Ce bénévole convoiera un lance-roquettes !,0,0,0
334,Est-ce que Sa Majesté démissionne ?,0,0,0
335,Les gitans pessimistes accédaient à la vie.,0,0,0
336,Les commères roucoulent.,0,0,0
337,Quatre imitateurs prennent en charge un zébu.,0,0,0
338,L'adulte prenait l'ascendant sur onze pots.,0,0,0
339,Un médecin moisit dans le désert.,0,0,0
340,Je reconnaîtrai le sac.,0,0,0
341,"Avant ta venue au monde, Fernandel rugissait.",0,0,0
342,Lara Croft se désaltère.,0,0,0
343,Un moussaillon ahuri décorait une nancéienne.,0,0,0
344,Michel Platini et moi trébuchons...,0,0,0
345,La cantatrice prend peu de flûtes aux autorités.,0,0,0
346,Vous installez la figure gazeuse.,0,0,0
347,Un adhérent se taille en Finlande au moment voulu.,0,0,0
348,Un groupe de reines s'associe à des comprimés.,0,0,0
349,Nous méditons sur un païen.,0,0,0
350,Je me fais conduire en Mauritanie.,0,0,0
351,Ces réfugiées tâchent de s'étendre.,0,0,0
352,Les commissaires de police se couchent rapidement.,0,0,0
353,Mon client ne fera pas l'impasse sur tes routes.,0,0,0
354,La québecoise se souvient du personnage principal.,0,0,0
355,Beaucoup de nymphes pleurent clairement.,0,0,0
356,Un flic hésitera à aboyer.,0,0,0
357,Tu t'appuyes sur les armures.,0,0,0
358,Nous dégringolons dans le Missouri.,0,0,0
359,Est-ce qu'un communiste rebondit ?,0,0,0
360,Vous provenez d'une dépression.,0,0,0
361,Est-ce que je prends la mouche ?,0,0,0
362,Le juge de touche approche d'une bouteille.,0,0,0
363,Les écrivains se détournent de bonbonnes de gaz.,0,0,0
364,Jeanne Moreau se refusera à changer.,0,0,0
365,Le futur réussira assez de zèbres.,0,0,0
366,Les anthropophages succèdent à des opales.,0,0,0
367,Je ne maigris plus jamais.,0,0,0
368,Trois taulards abrutis perdent espoir.,0,0,0
369,Importez-vous cet attribut ?,0,0,0
370,Nous briserons de fameuses absences.,0,0,0
371,Le choriste songe à un pot de fleurs.,0,0,0
372,Pourquoi la police rugissait-elle ?,0,0,0
373,Les imbéciles arrangent nos molécules.,0,0,0
374,Ces gastro-entérologues hululent !,0,0,0
375,Des ferrailleurs ne se divertissaient plus jamais.,0,0,0
376,Je désespère de dévaliser les pompiers.,0,0,0
377,Ces guitaristes patientaient.,0,0,0
378,Ces jardinières feront fi de toutes les âmes.,0,0,0
379,Nous rejetons la faute sur une série d'obus.,0,0,0
380,Le vandale atterrissait sur un iceberg.,0,0,0
381,Les brutes ne déchantent presque plus.,0,0,0
382,Les vieillards galopaient sur l'île de Sumatra.,0,0,0
383,"Elles envisageaient une affliction ""surprise"".",0,0,0
384,Un fonctionnaire ne gesticulait pas à moitié.,0,0,0
385,Quelques techniciens embrayaient.,0,0,0
386,Nous collons au doyen de l'université !,0,0,0
387,Le diacre veut fleurir !,0,0,0
388,Tu analyses un certain nombre de flûtes.,0,0,0
389,Le pilier de bar s'étendra en salant des dangers.,0,0,0
390,Est-ce que tu te plains de la victoire ?,0,0,0
391,Des psychopathes surestiment les myrtilles.,0,0,0
392,Est-ce que je dis amen à des fétus de paille ?,0,0,0
393,Gérard Jugnot capture ces astres.,0,0,0
394,Frank Sinatra se précipite bien à l'abri.,0,0,0
395,Nous cotisons en implosant désespérément.,0,0,0
396,Microsoft se retrouve en Floride.,0,0,0
397,L'imitateur ait.,0,0,0
398,Des japonaises se réfugient chez eux.,0,0,0
399,Des professeurs d'anglais empestent.,0,0,0
400,Te reproches-tu de chercher querelle à une olive ?,0,0,0
401,Les ouvriers rêveront d'un phare.,0,0,0
402,Ils servent le module en errant.,0,0,0
403,Des illuminées appellent au secours.,0,0,0
404,La foule des clients insatisfaits alunit.,0,0,0
405,Calamity Jane songe à l'athée.,0,0,0
406,Le commerçant délibère.,0,0,0
407,Nous délirerons.,0,0,0
408,Une folle au grand cœur lésine sur le néant.,0,0,0
409,Amorcions-nous le disque dur ?,0,0,0
410,Une touriste campe sur une aire d'autoroute !,0,0,0
411,Le patron s'amuse.,0,0,0
412,Trahirons-nous des dizaines de talibans ?,0,0,0
413,Vous ne savez presque jamais voir des engrais.,0,0,0
414,Vous ne tenez guère à ressusciter.,0,0,0
415,Tu démissionnes...,0,0,0
416,Un pitre se lassait totalement de cet ordinateur.,0,0,0
417,La prédicatrice n'échoue pas.,0,0,0
418,Tu te tailleras à Nancy.,0,0,0
419,"Sur le flanc du Vésuve, les passagers soupirent.",0,0,0
420,Caliméro ne tire pas parti d'un os de baleine.,0,0,0
421,Le hiérarque invisible le-t-il ?,0,0,0
422,Elles s'attendent irrationnellement aux spectres.,0,0,0
423,Les encyclopédistes pyromanes travaillent.,0,0,0
424,"Au Québec, nous nous morfondons...",0,0,0
425,Elles chassent notre fissure pour bégayer.,0,0,0
426,Mes potes parlementent.,0,0,0
427,Tu résistes encore au coquillage.,0,0,0
428,Est-ce que je plie boutique ?,0,0,0
429,Jean-Paul Belmondo se fourvoyait.,0,0,0
430,Est-ce que les fantômes portent le deuil ?,0,0,0
431,Vous vendez les télévisions à ces goujats.,0,0,0
432,Je cultivais des hordes de cours.,0,0,0
433,Un bandit obséquieux peut conserver cette zone.,0,0,0
434,Les préfets résisteront-ils à la filière ?,0,0,0
435,Le blessé de guerre rôde.,0,0,0
436,De quelle manière détestons-nous la paupière ?,0,0,0
437,"En l'air, Monica Bellucci fleurira.",0,0,0
438,Le pianiste séduit ton ombre idéale !,0,0,0
439,La Schtroumphette élève le beignet en mutation.,0,0,0
440,Deux adhérents annexent une balle ouverte.,0,0,0
441,Des plongeurs débattent d'un tiers des zébus.,0,0,0
442,Vous ne vous étendez pas sur une face.,0,0,0
443,Vous porterez atteinte à des canulars.,0,0,0
444,Où un bouffon ne pique-nique-t-il pas encore ?,0,0,0
445,Nous avons envie de nous ennuyer en picolant...,0,0,0
446,Tu admets spéculer.,0,0,0
447,Jim Carrey jonglera sans allumer des endroits.,0,0,0
448,Des amateurs comprendront les oreilles arctiques.,0,0,0
449,Les trois petits cochons démissionnent.,0,0,0
450,Des partisans volontaires s'empiffrent.,0,0,0
451,Tu dis aimer débattre d'Anne Roumanov...,0,0,0
452,Vous provoquez la chanson avec le foyer.,0,0,0
453,Vous prenez une île.,0,0,0
454,J'hésite à employer les boîtes dansantes.,0,0,0
455,Un intrus poireaute très mal.,0,0,0
456,Les nymphomanes allaient se dégonfler.,0,0,0
457,Des anorexiques ne sifflent pas vraiment.,0,0,0
458,Ils s'extasiaient sur cinq empereurs !,0,0,0
459,Tu songeras à un diplomate dans vingt jours.,0,0,0
460,Est-ce que tu écharpes cette bagarre ?,0,0,0
461,L'amiral stérile mise carrément sur la merdouille.,0,0,0
462,Nous faisons les yeux doux à un dictionnaire.,0,0,0
463,Le manutentionnaire aura soif.,0,0,0
464,Les organisatrices lésineront sur les tourbillons.,0,0,0
465,Michel Blanc tablait sur le fil de l'aspirateur.,0,0,0
466,"À Varsovie, un sénateur chôme pour glander !",0,0,0
467,L'auteur du roman ne doute pas !,0,0,0
468,Tu te moques d'un réacteur.,0,0,0
469,J'écrirai demain.,0,0,0
470,Nous nous piquons de bafouiller avec amour...,0,0,0
471,Pedro Almodovar défendait les jours.,0,0,0
472,Ces cow-boys s'empiffrent.,0,0,0
473,La fraudeuse importera-t-elle Ella Fitzgerald ?,0,0,0
474,Tu t'appliques à effrayer le coup de pied.,0,0,0
475,Le galopin stérile a soif.,0,0,0
476,Le premier amour de Jésus ne jardine pas encore.,0,0,0
477,Marylin Monroe déconnait.,0,0,0
478,Est-ce que Carla Bruni semble vouloir pavoiser ?,0,0,0
479,Elles sautillent.,0,0,0
480,Je fais peur à douze fuites à deux vitesses.,0,0,0
481,Bruno Cremer s'obstinera à contribuer au suc.,0,0,0
482,Il décore la nappe avec une oreille...,0,0,0
483,François Baroin en personne galope au pôle nord !,0,0,0
484,Nous nous mouchons...,0,0,0
485,Ils semblent ne pas papoter.,0,0,0
486,Des belligérantes relapses pueront beaucoup trop.,0,0,0
487,Bobby Lapointe craindra la flûte sans gazouiller.,0,0,0
488,Les cobayes paraissent bercer des débris.,0,0,0
489,Nous nous passons de flibustiers.,0,0,0
490,L'insurgée prête l'oreille au mollusque.,0,0,0
491,Nous rangeons une caravane.,0,0,0
492,"Entre deux portes, tu ricanais.",0,0,0
493,Tu cambrioles ce substrat.,0,0,0
494,Monsieur Phelbs grelotte.,0,0,0
495,Ce punk brille en vociférant.,0,0,0
496,Un milliardaire déconne-t-il sans se baigner ?,0,0,0
497,Tu farfouillais au restaurant.,0,0,0
498,Presque tous les croupiers ne vieillissent pas...,0,0,0
499,Enzo Ferrari pisse sur les suppressions ridicules.,0,0,0
500,Madame Olson s'acharnait sur la participante.,0,0,0
501,Le sorcier ne se tient pas sur des affiches.,0,0,0
502,Les deux ambulanciers se montreront !,0,0,0
